"ID"	"ItemNumber"	"ArgumentOrder"	"ExperimentID"	"ParticipantID"	"VerbType"	"RE1"	"RE2"	"REP"	"ContextS"	"ContextVinf"	"ContextVaux"	"ContextV"	"ContextValency"	"AntecedentAnswer"	"TargetPrompt"	"RE1gennum"	"RE1case"	"RE1gram"	"RE1proto"	"RE1art"	"RE2gennum"	"RE2case"	"RE2gram"	"RE2proto"	"RE2art"	"REPgennum"	"REPcase"	"REPtype"	"RE1role"	"RE2role"	"EGLM_7b_t00_comp_Completion"	"EGLM_7b_t00_comp_Antecedens"	"EGLM_7b_t02_comp_Completion"	"EGLM_7b_t02_comp_Antecedens"	"EGLM_7b_t05_comp_Completion"	"EGLM_7b_t05_comp_Antecedens"	"EMG_70b_t00_comp_Completion"	"EMG_70b_t00_comp_Antecedens"	"EMG_70b_t02_comp_Completion"	"EMG_70b_t02_comp_Antecedens"	"EMG_70b_t05_comp_Completion"	"EMG_70b_t05_comp_Antecedens"	"GPT4_t05_comp_Completion"	"GPT4_t05_comp_Antecedens"	"MIX_8x7b_t00_comp_Completion"	"MIX_8x7b_t00_comp_Antecedens"	"MIX_8x7b_t02_comp_Completion"	"MIX_8x7b_t02_comp_Antecedens"	"MIX_8x7b_t05_comp_Completion"	"MIX_8x7b_t05_comp_Antecedens"	"SKLM_7b_t00_comp_Completion"	"SKLM_7b_t00_comp_Antecedens"	"SKLM_7b_t02_comp_Completion"	"SKLM_7b_t02_comp_Antecedens"	"SKLM_7b_t05_comp_Completion"	"SKLM_7b_t05_comp_Antecedens"
"1"	"ID_100001"	"23"	"OS"	"A1"	"A1_VP01"	"SimpleTransitive"	"Den Professor"	"der Doktorand"	"Der"	"Den Professor soll der Doktorand vertreten"	"vertreten"	"soll"	"vertreten"	"2"	"NP2"	"Der hat	Auf was bezieht sich das \"Der\" in dem Satz, den Sie ergänzt haben?"	"M Sg"	"acc"	"O"	"pP"	"Den"	"M Sg"	"nom"	"S"	"pA"	"der"	"M Sg"	"nom"	"der"	"O"	"S"	"eine wichtige Konferenz in London."	"Auf \"Professor\""	"eine wichtige Konferenz in London."	"Auf \"Professor\""	"eine wichtige Konferenz in London."	"Auf \"Professor\""	"Der hat eine Vorlesung."	"Auf Professor"	"Der hat eine schwere Erkrankung."	"Auf Professor"	"Der hat heute frei."	"Auf \"Professor\""	"Der hat überraschend eine Konferenz im Ausland besuchen müssen."	"Das Der bezieht sich auf Doktorand."	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat eine Krankheit."	"Auf \"Doktorand\""	"Der hat einen Termin bei der Universität."	"Auf \"Doktorand\""	"Der hat einen Termin in der anderen Stadt."	"Auf \"Doktorand\""
"2"	"ID_100002"	"23"	"OS"	"A1"	"A1_VP02"	"SimpleTransitive"	"Den Professor"	"der Doktorand"	"Der"	"Den Professor soll der Doktorand vertreten"	"vertreten"	"soll"	"vertreten"	"2"	"NP1"	"Der hat	Auf was bezieht sich das \"Der\" in dem Satz, den Sie ergänzt haben?"	"M Sg"	"acc"	"O"	"pP"	"Den"	"M Sg"	"nom"	"S"	"pA"	"der"	"M Sg"	"nom"	"der"	"O"	"S"	"eine wichtige Konferenz in London."	"Auf Professor"	"eine wichtige Konferenz in einer anderen Stadt."	"Auf Professor"	"einen Termin bei einem Kongress in Paris."	"Auf Professor"	"Der hat eine Vorlesung."	"Auf Professor"	"Der hat eine Grippe."	"Auf Professor"	"Der hat eine Vorlesung."	"Auf Professor"	"Der hat plötzlich eine Grippe bekommen."	"Das Der bezieht sich auf Doktorand."	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat keine Zeit."	"Auf Doktorand."	"Der hat eine Krankheit."	"Auf Doktorand"	"Der hat eine Krankheit."	"Auf Doktorand"	"Der hat sich für die Prüfung vorbereitet."	"Auf Doktorand"
"3"	"ID_100003"	"23"	"OS"	"A1"	"A1_VP03"	"SimpleTransitive"	"Den Professor"	"der Doktorand"	"Der"	"Den Professor soll der Doktorand vertreten"	"vertreten"	"soll"	"vertreten"	"2"	"NP2"	"Der hat	Auf was bezieht sich das \"Der\" in dem Satz, den Sie ergänzt haben?"	"M Sg"	"acc"	"O"	"pP"	"Den"	"M Sg"	"nom"	"S"	"pA"	"der"	"M Sg"	"nom"	"der"	"O"	"S"	"eine wichtige Konferenz in London."	"Auf Professor"	"eine wichtige Konferenz in London."	"Auf Professor"	"eine wichtige Konferenz in London."	"Auf Professor"	"Der hat eine Vorlesung."	"Auf Professor"	"Der hat einen Termin bei der Universität."	"Auf Professor"	"Der hat die Vorlesung abgesagt."	"Auf Professor"	"Der hat plötzlich eine Grippe und kann die Vorlesung nicht halten."	"Das Der bezieht sich auf Professor."	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat eine Dienstreise."	"Auf Doktorand."	"Der hat eine Krankheit."	"Auf Doktorand"	"Der hat einen Termin bei der Dekanin."	"Auf Doktorand"	"Der hat einen Termin bei der Universität."	"Auf Doktorand"
"4"	"ID_100004"	"23"	"OS"	"A1"	"A1_VP04"	"SimpleTransitive"	"Den Professor"	"der Doktorand"	"Der"	"Den Professor soll der Doktorand vertreten"	"vertreten"	"soll"	"vertreten"	"2"	"NP1"	"Der hat	Auf was bezieht sich das \"Der\" in dem Satz, den Sie ergänzt haben?"	"M Sg"	"acc"	"O"	"pP"	"Den"	"M Sg"	"nom"	"S"	"pA"	"der"	"M Sg"	"nom"	"der"	"O"	"S"	"eine wichtige Konferenz in London."	"Auf Professor"	"eine wichtige Konferenz in London."	"Auf Professor"	"einen schweren Autounfall gehabt."	"Auf Professor"	"Der hat eine Vorlesung."	"Auf Professor"	"Der hat eine schwere Erkrankung."	"Auf Professor"	"Den Professor soll der Doktorand vertreten. Der hat eine wichtige Konferenz."	"Auf Doktorand"	"Der hat plötzlich eine Grippe bekommen."	"Das Der bezieht sich auf Doktorand."	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat eine Krankheit."	"Auf Doktorand"	"Der hat eine Krankheit."	"Auf Doktorand"	"Der hat einen Termin übernommen."	"Auf Doktorand"
"5"	"ID_100005"	"23"	"OS"	"A1"	"A1_VP05"	"SimpleTransitive"	"Den Professor"	"der Doktorand"	"Der"	"Den Professor soll der Doktorand vertreten"	"vertreten"	"soll"	"vertreten"	"2"	"NP2"	"Der hat	Auf was bezieht sich das \"Der\" in dem Satz, den Sie ergänzt haben?"	"M Sg"	"acc"	"O"	"pP"	"Den"	"M Sg"	"nom"	"S"	"pA"	"der"	"M Sg"	"nom"	"der"	"O"	"S"	"eine wichtige Konferenz in London."	"Auf Professor"	"eine wichtige Konferenz zu besuchen."	"Auf Professor"	"einen Termin bei einem wichtigen Kunden."	"Auf Professor"	"Der hat eine Vorlesung."	"Auf Professor"	"Der hat eine Erkältung."	"Auf Professor"	"Der hat das Seminar nicht vorbereitet."	"Auf Doktorand"	"Der hat plötzlich eine Grippe bekommen."	"Das Der bezieht sich auf Doktorand."	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat eine Krankheit."	"Auf Doktorand"	"Der hat einen Termin bei der Dekanin."	"Auf Doktorand"	"Der hat einen Termin in der Bibliothek."	"Auf Doktorand"
"6"	"ID_100006"	"23"	"OS"	"A1"	"A1_VP06"	"SimpleTransitive"	"Den Professor"	"der Doktorand"	"Der"	"Den Professor soll der Doktorand vertreten"	"vertreten"	"soll"	"vertreten"	"2"	"NP1"	"Der hat	Auf was bezieht sich das \"Der\" in dem Satz, den Sie ergänzt haben?"	"M Sg"	"acc"	"O"	"pP"	"Den"	"M Sg"	"nom"	"S"	"pA"	"der"	"M Sg"	"nom"	"der"	"O"	"S"	"eine wichtige Konferenz in London."	"Auf Professor"	"eine wichtige Konferenz in London."	"Auf Professor"	"Er ist sehr gut in seinem Fachgebiet."	"Auf Professor"	"Der hat eine Vorlesung."	"Auf Professor"	"Der hat eine schwere Erkrankung."	"Auf Professor"	"Der hat eine Einladung zum Vortrag erhalten."	"Auf Doktorand"	"Der hat jedoch Lampenfieber, da es seine erste Vorlesung sein wird."	"Der bezieht sich auf Doktorand."	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat keine Zeit."	"Auf Doktorand"	"Der hat keine Zeit."	"Auf Doktorand."	"Der hat eine Krankheit."	"Auf Doktorand"	"Der hat einen Termin in der Stadt."	"Auf Doktorand"	"Der hat einen Termin bei der Dekanin."	"Auf Doktorand"
"7"	"ID_100007"	"35"	"OS"	"A1"	"A1_VP01"	"SimpleTransitive"	"Den Koch"	"der Ober"	"Der"	"Den Koch soll der Ober loben"	"loben"	"soll"	"loben"	"2"	"NP1"	"Der hat	Auf was bezieht sich das \"Der\" in dem Satz, den Sie ergänzt haben?"	"M Sg"	"acc"	"O"	"pP"	"Den"	"M Sg"	"nom"	"S"	"pA"	"der"	"M Sg"	"nom"	"der"	"O"	"S"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Auf \"Koch\""	"Der hat das Essen zubereitet."	"Auf \"Koch\""	"die Gäste mit seinem Essen zufriedengestellt."	"Auf \"Koch\""	"Den Koch soll der Ober loben. Der hat den Service gut organisiert."	"Auf Koch"	"Der hat den Kunden zufriedengestellt."	"Auf Koch"	"Den Koch soll der Ober loben. Der hat einen neuen Rezeptbuch gekauft."	"Auf \"Koch\""	"Der hat ein außergewöhnlich schmackhaftes Menü kreiert."	"Das Der bezieht sich auf Koch."	"den ganzen Tag über hervorragende Arbeit geleistet."	"Auf Koch"	"den ganzen Tag über hervorragend gearbeitet."	"Auf Koch"	"den Abend gut gemeistert."	"Auf Koch"	"Der hat eine exzellente Arbeit geleistet."	"Auf \"Koch\""	"Der hat eine ausgezeichnete Küche geleitet."	"Auf \"Koch\""	"Der hat eine ausgezeichnete Küchenfähigkeit gezeigt."	"Auf \"Koch\""
"8"	"ID_100008"	"35"	"OS"	"A1"	"A1_VP02"	"SimpleTransitive"	"Den Koch"	"der Ober"	"Der"	"Den Koch soll der Ober loben"	"loben"	"soll"	"loben"	"2"	"NP1"	"Der hat	Auf was bezieht sich das \"Der\" in dem Satz, den Sie ergänzt haben?"	"M Sg"	"acc"	"O"	"pP"	"Den"	"M Sg"	"nom"	"S"	"pA"	"der"	"M Sg"	"nom"	"der"	"O"	"S"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Auf Koch"	"Der hat ein köstliches Essen zubereitet."	"Auf Koch"	"Der hat das Essen zubereitet."	"Auf Koch"	"Den Koch soll der Ober loben. Der hat den Service gut organisiert."	"Auf Koch"	"Der hat den besten Kuchen gebacken."	"Auf Koch"	"Den Koch soll der Ober loben. Der hat die besten Burger in der Stadt gekocht."	"Auf Koch"	"Der hat ein exquisites Fünf-Gänge-Menü zubereitet."	"Das Der bezieht sich auf Koch."	"den ganzen Tag über hervorragende Arbeit geleistet."	"Auf Koch"	"den ganzen Tag über hervorragend gearbeitet."	"Auf Koch"	"Den Koch soll der Ober loben. Der hat eine hervorragende Arbeit geleistet."	"Auf Koch"	"Der hat eine exzellente Arbeit geleistet."	"Auf Koch"	"Der hat eine ausgezeichnete Küchenfähigkeit gezeigt."	"Auf Koch"	"Der hat einen wunderschönen Appetit."	"Auf Koch"
"9"	"ID_100009"	"35"	"OS"	"A1"	"A1_VP03"	"SimpleTransitive"	"Den Koch"	"der Ober"	"Der"	"Den Koch soll der Ober loben"	"loben"	"soll"	"loben"	"2"	"NP1"	"Der hat	Auf was bezieht sich das \"Der\" in dem Satz, den Sie ergänzt haben?"	"M Sg"	"acc"	"O"	"pP"	"Den"	"M Sg"	"nom"	"S"	"pA"	"der"	"M Sg"	"nom"	"der"	"O"	"S"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Auf Koch"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Auf Koch"	"Der hat ein köstliches Essen zubereitet."	"Auf Koch"	"Den Koch soll der Ober loben. Der hat den Service gut organisiert."	"Auf Koch"	"Der hat die besten Pommes frites gekocht."	"Auf Koch"	"Den Koch soll der Ober loben. Der hat die besten Torten gebacken."	"Auf Koch"	"Der hat ein exquisites Fünf-Gänge-Menü kreiert."	"Das Der bezieht sich auf Koch."	"den ganzen Tag über hervorragende Arbeit geleistet."	"Auf Koch"	"den ganzen Tag über hervorragende Arbeit geleistet."	"Auf Koch"	"den Kuchen gebacken."	"Auf Ober"	"Der hat eine exzellente Arbeit geleistet."	"Auf Koch"	"Der hat eine fantastische Leistung gezeigt."	"Auf Koch"	"Der hat das Essen perfekt zubereitet."	"Auf Koch"
"10"	"ID_100010"	"35"	"OS"	"A1"	"A1_VP04"	"SimpleTransitive"	"Den Koch"	"der Ober"	"Der"	"Den Koch soll der Ober loben"	"loben"	"soll"	"loben"	"2"	"NP1"	"Der hat	Auf was bezieht sich das \"Der\" in dem Satz, den Sie ergänzt haben?"	"M Sg"	"acc"	"O"	"pP"	"Den"	"M Sg"	"nom"	"S"	"pA"	"der"	"M Sg"	"nom"	"der"	"O"	"S"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Auf Koch"	"Die Suppe perfekt gewürzt."	"Auf Koch"	"Der hat das Fleisch perfekt gebraten."	"Auf Koch"	"Den Koch soll der Ober loben. Der hat den Service gut organisiert."	"Auf Koch"	"Der hat den Kunden zufriedengestellt."	"Auf Koch"	"Der hat das Restaurant gerettet."	"Auf Koch"	"Der hat gerade ein exquisites Fünf-Gänge-Menü für einen sehr anspruchsvollen Gast zubereitet."	"Das Der bezieht sich auf den Koch."	"den ganzen Tag über hervorragende Arbeit geleistet."	"Auf Koch"	"den Kuchen gut gemacht."	"Auf Koch"	"den ganzen Abend über hervorragende Arbeit geleistet."	"Auf Koch"	"Der hat eine exzellente Arbeit geleistet."	"Auf Koch"	"Der hat einen tollen Job gemacht."	"Auf Koch"	"Der hat eine herausragende Leistung gezeigt."	"Auf Koch"
