ID_106852	Der Gastgeber organisierte der Rednerin die Hotelsuite. Er/der/dieser freute sich über den Besuch.
ID_106254	Die Klientin überwies dem Detektiv den Betrag. Sie/die/diese war dabei sehr diskret.
ID_107742	Die Verkäuferin lieh der Interessentin den Autoschlüssel. Er/der/dieser war defekt.
ID_107681	Die Türsteherin verweigerte der Besucherin den Zutritt. Er/der/dieser war leider nicht gestattet.
ID_107810	Die Vermieterin schickte dem Mieter den Mietvertrag. Sie/die/diese hat aber vergessen, zu unterschreiben.
ID_106927	Der Vater kaufte der Tochter die Zuckerwatte. Er/der/dieser war heute gut gelaunt.
ID_106032	Der Enkel malte der Großmutter den Garten. Sie/die/diese wurde schon am frühen Abend langsam müde.
ID_107459	Der Regisseur empfahl der Schauspielerin die Fernsehserie. Er/der/dieser sah gern Komödien.
ID_107382	Der Kollege führte dem Neuen die Prozedur. Sie/die/diese war ziemlich komplex.
ID_106724	Der Therapeut gewöhnte dem Patienten die Marotte. Sie/die/diese hatte bereits gefährliche Folgen.
ID_106449	Die Autorin widmete dem Verlobten die Novelle. Er/der/dieser war dafür sehr dankbar.
ID_107324	Der Dieb entwendete dem Touristen die Handtasche. Sie/die/diese enthielt alle Wertsachen.
ID_105858	Der Künstler vererbte der Musikerin den Besitz. Sie/die/diese war jetzt sehr reich.
ID_107436	Der Schneider nähte dem Klienten die Jacke. Sie/die/diese fiel größer aus als gewollt.
ID_105978	Der Archäologe präsentierte der Museumsdirektorin den Fund. Sie/die/diese war sehr aufgeregt.
ID_105923	Der Teenager verkaufte der Freundin den Ausweis. Sie/die/diese war bereits vorbestraft.
ID_106775	Der Betrüger raubte dem König die Krone. Sie/die/diese war unfassbar wertvoll.
ID_107571	Der Lieferant reichte der Floristin die Rechnung. Er/der/dieser war sehr gutaussehend.
ID_107803	Die Wächterin hat der Schwägerin den Geheimcode. Er/der/dieser war allerdings lang und schwer zu merken.
ID_107058	Die Hotelmanagerin beschaffte dem Urlauber die Massage. Er/der/dieser machte nämlich einen gestressten Eindruck.
ID_106242	Die Mitarbeiterin nahm der Opernsängerin den Mantel. Er/der/dieser war erfreulicherweise aus Kunstpelz.
ID_107932	Die Arbeitgeberin zeigte dem Bewerber den Arbeitsvertrag. Sie/die/diese wirkte dabei sehr sympathisch.
ID_107248	Die Chirurgin besorgte dem Arzt die Stelle. Er/der/dieser brachte nützliche Kontakte mit.
ID_106645	Die Eigentümerin vermietete dem Anwohner die Parkfläche. Er/der/dieser war froh über den langfristigen Vertrag.
ID_106322	Die Friseurin erzählte dem Neukunden den Sonntagswitz. Sie/die/diese konnte dabei nicht aufhören, zu lachen.
ID_107515	Der Chef garantierte der Angestellten die Gehaltserhöhung. Er/der/dieser war nämlich sehr zufrieden.
ID_107872	Die Studentin stahl dem Dozenten den Laptop. Sie/die/diese hatte nämlich ernste Schwierigkeiten.
ID_106185	Die Unternehmerin stellte der Bankangestellten den Kostenplan. Er/der/dieser war sorgfältig berechnet worden.
ID_106839	Der Anwalt erklärte dem Mandanten die Beweislage. Sie/die/diese war uneindeutig.
ID_106977	Der Lieferant baute der Kundin die Kommode. Er/der/dieser war dabei etwas ungeschickt.
ID_106110	Die Käuferin schuldete der Händlerin den Kaufpreis. Er/der/dieser lag im fünfstelligen Bereich.
ID_107127	Die Lehrerin kündigte dem Rektor die Pensionierung. Er/der/dieser war darüber etwas traurig.
ID_106379	Die Krankenpflegerin wusch dem Patienten den Rücken. Sie/die/diese kannte die Routine mittlerweile.
ID_107184	Der Onkel leitete der Nichte den Videoclip. Sie/die/diese mochte witzige Katzenvideos.
ID_106578	Die Schülerin zeigte dem Sitznachbarn die Formel. Er/der/dieser war nämlich immer sehr nett.
ID_106518	Der Inhaber bot der Mitarbeiterin den Umzugswagen. Sie/die/diese wollte sich außerdem das Wochenende frei nehmen.
