ID_107342	Der Kollege führte der Neuen die Prozedur. Er/der/dieser war dabei sehr sorgfältig.
ID_106883	Die Gastgeberin organisierte dem Redner die Hotelsuite. Er/der/dieser freute sich über die Einladung.
ID_107649	Die Türsteherin verweigerte dem Besucher den Zutritt. Sie/die/diese war etwas unhöflich.
ID_107546	Die Chefin garantierte dem Angestellten die Gehaltserhöhung. Er/der/dieser war daraufhin sehr zufrieden.
ID_106589	Der Schüler zeigte dem Sitznachbarn die Formel. Sie/die/diese war ziemlich kompliziert.
ID_107487	Die Regisseurin empfahl dem Schauspieler die Fernsehserie. Er/der/dieser sah gern Komödien.
ID_107229	Der Chirurg besorgte der Ärztin die Stelle. Er/der/dieser hatte nämlich nützliche Kontakte.
ID_106276	Der Klient überwies der Detektivin den Betrag. Sie/die/diese war bekanntlich sehr diskret.
ID_105879	Die Künstlerin vererbte der Musikerin den Besitz. Er/der/dieser bestand aus Geldwerten und Grundstücken.
ID_107023	Der Lieferant baute dem Kunden die Kommode. Sie/die/diese war sehr geräumig.
ID_107272	Der Dieb entwendete der Touristin die Handtasche. Er/der/dieser war dabei sehr aggressiv.
ID_106423	Die Krankenpflegerin wusch der Patientin den Rücken. Er/der/dieser war etwas schuppig.
ID_106227	Der Mitarbeiter nahm der Opernsängerin den Mantel. Sie/die/diese fand das angemessen.
ID_106474	Der Autor widmete dem Verlobten die Novelle. Sie/die/diese war ein Verkaufshit.
ID_106339	Der Friseur erzählte der Neukundin den Sonntagswitz. Sie/die/diese konnte danach nicht aufhören, zu lachen.
ID_106730	Der Betrüger raubte der Königin die Krone. Er/der/dieser war allerdings unvorsichtig.
ID_107785	Der Wächter hat der Schwägerin den Geheimcode. Sie/die/diese war glücklicherweise schon betrunken.
ID_107708	Die Verkäuferin lieh dem Interessenten den Autoschlüssel. Sie/die/diese war voller Hoffnung.
ID_106611	Der Eigentümer vermietete der Anwohnerin die Parkfläche. Er/der/dieser war froh über den langfristigen Vertrag.
ID_106930	Die Mutter kaufte dem Sohn die Zuckerwatte. Er/der/dieser war umgehend gut gelaunt.
ID_107612	Der Lieferant reichte dem Floristen die Rechnung. Sie/die/diese war ganz zerknittert.
ID_107156	Die Tante leitete dem Neffen den Videoclip. Sie/die/diese mochte witzige Katzenvideos.
ID_106682	Der Therapeut gewöhnte der Patientin die Marotte. Er/der/dieser war sehr bemüht.
ID_107087	Der Hotelmanager beschaffte dem Urlauber die Massage. Sie/die/diese war sogar ermäßigt.
ID_107129	Der Lehrer kündigte dem Rektor die Pensionierung. Sie/die/diese war schon lange geplant.
ID_106084	Die Käuferin schuldete dem Händler den Kaufpreis. Sie/die/diese war telefonisch nicht erreichbar.
ID_106829	Die Anwältin erklärte dem Mandanten die Beweislage. Er/der/dieser war nun perfekt vorbereitet.
ID_107417	Die Schneiderin nähte dem Klienten die Jacke. Er/der/dieser investierte viel Geld.
ID_106535	Die Inhaberin bot der Mitarbeiterin den Umzugswagen. Er/der/dieser war geräumig genug für alle Möbel.
ID_105995	Die Archäologin präsentierte der Museumsdirektorin den Fund. Er/der/dieser war sensationell.
ID_107954	Die Arbeitgeberin zeigte der Bewerberin den Arbeitsvertrag. Er/der/dieser war ohne Zweifel rechtsgültig.
ID_107841	Der Vermieter schickte der Mieterin den Mietvertrag. Sie/die/diese hat nämlich vergessen, zu unterschreiben.
ID_107889	Der Student stahl der Dozentin den Laptop. Sie/die/diese hatte dadurch ernste Schwierigkeiten.
ID_106134	Die Unternehmerin stellte dem Bankangestellten den Kostenplan. Sie/die/diese war dabei sehr konzentriert.
ID_105939	Die Teenagerin verkaufte der Freundin den Ausweis. Er/der/dieser war gefälscht.
ID_106020	Die Enkelin malte dem Großvater den Garten. Sie/die/diese wurde erst am späten Abend langsam müde.
