ID_107243	Die Chirurgin besorgte dem Arzt die Stelle. Er/der/dieser brachte nützliche Kontakte mit.
ID_105840	Die Künstlerin vererbte dem Musiker den Besitz. Sie/die/diese war sehr reich.
ID_107854	Die Vermieterin schickte der Mieterin den Mietvertrag. Er/der/dieser war präzise formuliert.
ID_107385	Der Kollege führte dem Neuen die Prozedur. Sie/die/diese war ziemlich komplex.
ID_107795	Die Wächterin hat der Schwägerin den Geheimcode. Er/der/dieser war allerdings lang und schwer zu merken.
ID_106108	Der Käufer schuldete der Händlerin den Kaufpreis. Sie/die/diese war telefonisch nicht erreichbar.
ID_106907	Der Gastgeber organisierte dem Redner die Hotelsuite. Sie/die/diese war frisch renoviert.
ID_105891	Die Teenagerin verkaufte dem Freund den Ausweis. Sie/die/diese war bereits vorbestraft.
ID_107880	Die Studentin stahl dem Dozenten den Laptop. Sie/die/diese hatte nämlich ernste Schwierigkeiten.
ID_106321	Die Friseurin erzählte dem Neukunden den Sonntagswitz. Sie/die/diese konnte dabei nicht aufhören, zu lachen.
ID_105975	Der Archäologe präsentierte der Museumsdirektorin den Fund. Sie/die/diese war sehr aufgeregt.
ID_106249	Die Mitarbeiterin nahm der Opernsängerin den Mantel. Er/der/dieser war erfreulicherweise aus Kunstpelz.
ID_106188	Die Unternehmerin stellte der Bankangestellten den Kostenplan. Er/der/dieser war sorgfältig berechnet worden.
ID_106974	Der Lieferant baute der Kundin die Kommode. Er/der/dieser war dabei etwas ungeschickt.
ID_107309	Die Diebin entwendete dem Touristen die Handtasche. Er/der/dieser war danach sehr aggressiv.
ID_106771	Der Betrüger raubte dem König die Krone. Sie/die/diese war unfassbar wertvoll.
ID_106641	Die Eigentümerin vermietete dem Anwohner die Parkfläche. Er/der/dieser war froh über den langfristigen Vertrag.
ID_107492	Der Regisseur empfahl dem Schauspieler die Fernsehserie. Sie/die/diese handelte von einer lustigen Verwechslung.
ID_107523	Der Chef garantierte der Angestellten die Gehaltserhöhung. Er/der/dieser war nämlich sehr zufrieden.
ID_106849	Der Anwalt erklärte dem Mandanten die Beweislage. Sie/die/diese war uneindeutig.
ID_107126	Die Lehrerin kündigte dem Rektor die Pensionierung. Er/der/dieser war darüber etwas traurig.
ID_106037	Der Enkel malte der Großmutter den Garten. Sie/die/diese wurde schon am frühen Abend langsam müde.
ID_107737	Die Verkäuferin lieh der Interessentin den Autoschlüssel. Er/der/dieser war defekt.
ID_106382	Die Krankenpflegerin wusch dem Patienten den Rücken. Sie/die/diese kannte die Routine mittlerweile.
ID_106924	Der Vater kaufte der Tochter die Zuckerwatte. Er/der/dieser war heute gut gelaunt.
ID_106306	Die Klientin überwies der Detektivin den Betrag. Sie/die/diese war großzügig aufgerundet.
ID_106527	Der Inhaber bot der Mitarbeiterin den Umzugswagen. Sie/die/diese wollte sich außerdem das Wochenende frei nehmen.
ID_107659	Der Türsteher verweigerte der Besucherin den Zutritt. Sie/die/diese war etwas unhöflich.
ID_107946	Die Arbeitgeberin zeigte dem Bewerber den Arbeitsvertrag. Sie/die/diese wirkte dabei sehr sympathisch.
ID_106581	Die Schülerin zeigte dem Sitznachbarn die Formel. Er/der/dieser war nämlich immer sehr nett.
ID_106437	Der Autor widmete der Verlobten die Novelle. Er/der/dieser war nämlich sehr dankbar.
ID_107171	Der Onkel leitete der Nichte den Videoclip. Sie/die/diese mochte witzige Katzenvideos.
ID_106700	Die Therapeutin gewöhnte dem Patienten die Marotte. Er/der/dieser war sehr dankbar.
ID_107578	Der Lieferant reichte der Floristin die Rechnung. Er/der/dieser war sehr gutaussehend.
ID_107435	Der Schneider nähte dem Klienten die Jacke. Sie/die/diese fiel größer aus als gewollt.
ID_107038	Der Hotelmanager beschaffte der Urlauberin die Massage. Er/der/dieser machte danach einen gestressten Eindruck.
