Model	NA_Count
SK3_8b_t00_comp_Antecedens	1536
SK3_8b_t05_comp_Antecedens	1501
SK3_8b_t02_comp_Antecedens	1451
QWEN2.5_14b_t05_comp_Antecedens	1015
QWEN2.5_14b_t00_comp_Antecedens	964
QWEN2.5_14b_t02_comp_Antecedens	939
OC3.6_8b_t05_comp_Antecedens	552
GRAN_MoE_3b_t00_comp_Antecedens	528
OC3.6_8b_t02_comp_Antecedens	493
GRAN_MoE_3b_t02_comp_Antecedens	456
OC3.6_8b_t00_comp_Antecedens	446
GRAN_MoE_3b_t05_comp_Antecedens	352
ML3.1_8b_t05_comp_Antecedens	315
GEMMA2_9b_t05_comp_Antecedens	228
PHI3_14b_t05_comp_Antecedens	200
GEMMA2_9b_t02_comp_Antecedens	192
PHI3_14b_t02_comp_Antecedens	168
GEMMA2_9b_t00_comp_Antecedens	144
DL3_8b_t05_comp_Antecedens	140
ML3.1_8b_t02_comp_Antecedens	133
GRAN_8b_t02_comp_Antecedens	103
DL3_8b_t00_comp_Antecedens	96
ML3.2_3b_t05_comp_Antecedens	84
PHI3_14b_t00_comp_Antecedens	80
MISTRALNEMO_12b_t05_comp_Antecedens	76
Ministral_8b_t05_comp_Antecedens	71
DL3_8b_t02_comp_Antecedens	68
EGLM_7b_t05_comp_Antecedens	60
MISTRALNEMO_12b_t02_comp_Antecedens	55
GRAN_8b_t05_comp_Antecedens	52
EMG_70b_t00_comp_Antecedens	48
EMG_70b_t05_comp_Antecedens	48
Ministral_8b_t00_comp_Antecedens	48
Ministral_8b_t02_comp_Antecedens	48
MISTRALNEMO_12b_t00_comp_Antecedens	48
ML3.1_8b_t00_comp_Antecedens	48
Human_Antecedens	44
ML3_70b_t02_comp_Antecedens	41
EGLM_7b_t02_comp_Antecedens	40
GPT4_t05_comp_Antecedens	38
ML3.2_3b_t02_comp_Antecedens	36
EGLM_7b_t00_comp_Antecedens	32
ML3_8b_t00_comp_Antecedens	32
ML3_8b_t05_comp_Antecedens	32
SK3_70b_t05_comp_Antecedens	29
KFK3_8b_t05_comp_Antecedens	28
ML3_70b_t05_comp_Antecedens	24
ML3_8b_t02_comp_Antecedens	24
SKGEMMA2_9b_t05_comp_Antecedens	24
SKv2_14b_t02_comp_Antecedens	24
SKv2_14b_t05_comp_Antecedens	20
EMG_70b_t02_comp_Antecedens	16
GRAN_8b_t00_comp_Antecedens	16
KFK3_8b_t00_comp_Antecedens	16
ML3.2_3b_t00_comp_Antecedens	16
SKGEMMA2_9b_t00_comp_Antecedens	16
SKGEMMA2_9b_t02_comp_Antecedens	12
KFK3_8b_t02_comp_Antecedens	4
MIX_8x7b_t05_comp_Antecedens	4
SKLM_7b_t05_comp_Antecedens	4
MIX_8x7b_t00_comp_Antecedens	0
MIX_8x7b_t02_comp_Antecedens	0
ML3_70b_t00_comp_Antecedens	0
SK3_70b_t00_comp_Antecedens	0
SK3_70b_t02_comp_Antecedens	0
SKLM_7b_t00_comp_Antecedens	0
SKLM_7b_t02_comp_Antecedens	0
SKv2_14b_t00_comp_Antecedens	0
