Column	NA_Count
MISTRALNEMO_12b_t00_rtgs_Rating	2154
MISTRALNEMO_12b_t02_rtgs_Rating	2141
Ministral_8b_t00_rtgs_Rating	2069
MISTRALNEMO_12b_t05_rtgs_Rating	2013
Ministral_8b_t02_rtgs_Rating	1666
Ministral_8b_t05_rtgs_Rating	1080
QWEN2.5_14b_t05_rtgs_Rating	840
QWEN2.5_14b_t00_rtgs_Rating	737
SK3_8b_t05_rtgs_Rating	638
SKLM_7b_t05_rtgs_Rating	634
QWEN2.5_14b_t02_rtgs_Rating	623
SK3_8b_t02_rtgs_Rating	466
SK3_8b_t00_rtgs_Rating	374
ML3.2_3b_t05_rtgs_Rating	368
ML3_70b_t05_rtgs_Rating	350
ML3_70b_t02_rtgs_Rating	329
ML3.2_3b_t00_rtgs_Rating	312
ML3.2_3b_t02_rtgs_Rating	294
SKv2_14b_t05_rtgs_Rating	211
SKLM_7b_t02_rtgs_Rating	198
ML3_70b_t00_rtgs_Rating	182
EMG_70b_t05_rtgs_Rating	112
SKv2_14b_t02_rtgs_Rating	109
PHI3_14b_t05_rtgs_Rating	97
ML3.1_8b_t05_rtgs_Rating	90
GRAN_8b_t05_rtgs_Rating	42
DL3_8b_t05_rtgs_Rating	26
SKv2_14b_t00_rtgs_Rating	22
ML3.1_8b_t00_rtgs_Rating	14
SKLM_7b_t00_rtgs_Rating	14
ML3.1_8b_t02_rtgs_Rating	12
KFK3_8b_t05_rtgs_Rating	6
ML3_8b_t05_rtgs_Rating	6
SKGEMMA2_9b_t05_rtgs_Rating	4
EGLM_7b_t05_rtgs_Rating	2
ML3_8b_t02_rtgs_Rating	1
Human_Rating	0
DL3_8b_t00_rtgs_Rating	0
DL3_8b_t02_rtgs_Rating	0
EGLM_7b_t00_rtgs_Rating	0
EGLM_7b_t02_rtgs_Rating	0
EMG_70b_t00_rtgs_Rating	0
EMG_70b_t02_rtgs_Rating	0
GEMMA2_9b_t00_rtgs_Rating	0
GEMMA2_9b_t02_rtgs_Rating	0
GEMMA2_9b_t05_rtgs_Rating	0
GPT4_t05_rtgs_Rating	0
GRAN_8b_t00_rtgs_Rating	0
GRAN_8b_t02_rtgs_Rating	0
GRAN_MoE_3b_t00_rtgs_Rating	0
GRAN_MoE_3b_t02_rtgs_Rating	0
GRAN_MoE_3b_t05_rtgs_Rating	0
KFK3_8b_t00_rtgs_Rating	0
KFK3_8b_t02_rtgs_Rating	0
MIX_8x7b_t00_rtgs_Rating	0
MIX_8x7b_t02_rtgs_Rating	0
MIX_8x7b_t05_rtgs_Rating	0
ML3_8b_t00_rtgs_Rating	0
OC3.6_8b_t00_rtgs_Rating	0
OC3.6_8b_t02_rtgs_Rating	0
OC3.6_8b_t05_rtgs_Rating	0
PHI3_14b_t00_rtgs_Rating	0
PHI3_14b_t02_rtgs_Rating	0
SK3_70b_t00_rtgs_Rating	0
SK3_70b_t02_rtgs_Rating	0
SK3_70b_t05_rtgs_Rating	0
SKGEMMA2_9b_t00_rtgs_Rating	0
SKGEMMA2_9b_t02_rtgs_Rating	0
