Model	Pronoun	Chi_Square	P_Value
DL3_8b_t00_comp_Antecedens	Der	19.3771929824561	1.072806443387e-05
DL3_8b_t00_comp_Antecedens	Dieser	20.9554565701559	4.70086972933171e-06
DL3_8b_t00_comp_Antecedens	Er	77.9189189189189	1.07358171938704e-18
DL3_8b_t02_comp_Antecedens	Der	9.9977728285078	0.00156729659541948
DL3_8b_t02_comp_Antecedens	Dieser	18.6930022573363	1.53544950884526e-05
DL3_8b_t02_comp_Antecedens	Er	56.2252252252252	6.46270538246012e-14
DL3_8b_t05_comp_Antecedens	Der	2.58669833729216	0.107764764509762
DL3_8b_t05_comp_Antecedens	Dieser	27.3245823389021	1.72010672267382e-07
DL3_8b_t05_comp_Antecedens	Er	22.9531615925059	1.65996972487908e-06
EGLM_7b_t00_comp_Antecedens	Der	2.75280898876404	0.0970837325633799
EGLM_7b_t00_comp_Antecedens	Dieser	10.4144144144144	0.0012503549718007
EGLM_7b_t00_comp_Antecedens	Er	0.800443458980044	0.370960815651381
EGLM_7b_t02_comp_Antecedens	Der	2.76523702031603	0.0963324176671057
EGLM_7b_t02_comp_Antecedens	Dieser	6.70731707317073	0.00960180806005617
EGLM_7b_t02_comp_Antecedens	Er	2.59192825112108	0.107409501218113
EGLM_7b_t05_comp_Antecedens	Der	2.74049217002237	0.0978346302618285
EGLM_7b_t05_comp_Antecedens	Dieser	10.0425055928412	0.00152968996074057
EGLM_7b_t05_comp_Antecedens	Er	6.48	0.0109094983642693
