Model	Pronoun	Chi_Square	P_Value
DL3_8b_t00_comp_Antecedens	Der	2.90632133979302	0.0882329189412647
DL3_8b_t00_comp_Antecedens	Dieser	68.2171875	1.46443721819964e-16
DL3_8b_t00_comp_Antecedens	Er	148.130859375	4.44146204157766e-34
DL3_8b_t02_comp_Antecedens	Der	17.8396072794689	2.40328252522047e-05
DL3_8b_t02_comp_Antecedens	Dieser	25.7475788032763	3.89114862704995e-07
DL3_8b_t02_comp_Antecedens	Er	170.188770704514	6.7287937061713e-39
DL3_8b_t05_comp_Antecedens	Der	31.8683908045977	1.64980181930917e-08
DL3_8b_t05_comp_Antecedens	Dieser	19.8960757902299	8.17679942089484e-06
DL3_8b_t05_comp_Antecedens	Er	138.876907859519	4.68613580061034e-32
EGLM_7b_t00_comp_Antecedens	Der	28.3871744574869	9.93211331724448e-08
EGLM_7b_t00_comp_Antecedens	Dieser	15.0345870500551	0.000105558770869549
EGLM_7b_t00_comp_Antecedens	Er	3.16282547593391	0.0753326957494888
EGLM_7b_t02_comp_Antecedens	Der	28.3871744574869	9.93211331724448e-08
EGLM_7b_t02_comp_Antecedens	Dieser	18.740592805308	1.49760302953761e-05
EGLM_7b_t02_comp_Antecedens	Er	5.15364408859462	0.0231976410296745
EGLM_7b_t05_comp_Antecedens	Der	8.21110802062606	0.004163471954346
EGLM_7b_t05_comp_Antecedens	Dieser	14.690938783912	0.000126653779955584
EGLM_7b_t05_comp_Antecedens	Er	30.0046198785315	4.31018184015626e-08
EMG_70b_t00_comp_Antecedens	Der	4.37787123711886	0.0364084417185805
EMG_70b_t00_comp_Antecedens	Dieser	2.01697390539463e-31	1
EMG_70b_t00_comp_Antecedens	Er	217.3130859375	3.48725816324825e-49
EMG_70b_t02_comp_Antecedens	Der	24.2870869322593	8.29935845927895e-07
EMG_70b_t02_comp_Antecedens	Dieser	10.1180278561921	0.00146826022782894
EMG_70b_t02_comp_Antecedens	Er	211.735452595956	5.74442391259799e-48
EMG_70b_t05_comp_Antecedens	Der	20.7547136425731	5.22029272252813e-06
EMG_70b_t05_comp_Antecedens	Dieser	6.34068530967378	0.0117999282716794
EMG_70b_t05_comp_Antecedens	Er	198.769433734794	3.87590430893705e-45
GEMMA2_9b_t00_comp_Antecedens	Der	107.502415458937	3.45484112920582e-25
GEMMA2_9b_t00_comp_Antecedens	Dieser	128.790940766551	7.53513343473571e-30
GEMMA2_9b_t00_comp_Antecedens	Er	247.086494187802	1.12104964489651e-55
GEMMA2_9b_t02_comp_Antecedens	Der	69.8505479735318	6.39723253483783e-17
GEMMA2_9b_t02_comp_Antecedens	Dieser	135.84479705664	2.15752328893159e-31
