Model	Pronoun	Chi_Square	P_Value
DL3_8b_t00_comp_Antecedens	Der	99.0878151682572	2.41549851450831e-23
DL3_8b_t00_comp_Antecedens	Dieser	295.30165810094	3.47863114044723e-66
DL3_8b_t00_comp_Antecedens	Er	6.57069309794728	0.0103671569757076
DL3_8b_t02_comp_Antecedens	Der	99.9317968450214	1.57736442975997e-23
DL3_8b_t02_comp_Antecedens	Dieser	292.665454126595	1.30553038599413e-65
DL3_8b_t02_comp_Antecedens	Er	4.70460548917529	0.0300819053033388
DL3_8b_t05_comp_Antecedens	Der	64.8852051588177	7.93909223010991e-16
DL3_8b_t05_comp_Antecedens	Dieser	245.827975181003	2.10867090643069e-55
DL3_8b_t05_comp_Antecedens	Er	3.49208337842306	0.0616629368146729
EGLM_7b_t00_comp_Antecedens	Der	395.578846712428	5.05100003602095e-88
EGLM_7b_t00_comp_Antecedens	Dieser	272.443909323259	3.32873012346611e-61
EGLM_7b_t00_comp_Antecedens	Er	116.712636172159	3.31825428113644e-27
EGLM_7b_t02_comp_Antecedens	Der	364.346080560074	3.18605267879308e-81
EGLM_7b_t02_comp_Antecedens	Dieser	309.595923158955	2.67454736647173e-69
EGLM_7b_t02_comp_Antecedens	Er	136.82881274762	1.31441987198942e-31
EGLM_7b_t05_comp_Antecedens	Der	329.554192965719	1.20194590036738e-73
EGLM_7b_t05_comp_Antecedens	Dieser	310.866548867832	1.41401393944116e-69
EGLM_7b_t05_comp_Antecedens	Er	121.610035651177	2.80977169941097e-28
EMG_70b_t00_comp_Antecedens	Der	310.109492241344	2.06715269294416e-69
EMG_70b_t00_comp_Antecedens	Dieser	304.655055454981	3.18872536990447e-68
EMG_70b_t00_comp_Antecedens	Er	52.9362063492584	3.44559245003101e-13
EMG_70b_t02_comp_Antecedens	Der	358.697141875051	5.4110179845919e-80
EMG_70b_t02_comp_Antecedens	Dieser	340.706958099106	4.4761864685191e-76
EMG_70b_t02_comp_Antecedens	Er	73.038544299737	1.27142429819963e-17
EMG_70b_t05_comp_Antecedens	Der	301.260514039484	1.75044997653784e-67
EMG_70b_t05_comp_Antecedens	Dieser	259.727572190718	1.96742875759507e-58
EMG_70b_t05_comp_Antecedens	Er	52.3392738655925	4.66942029617407e-13
GEMMA2_9b_t00_comp_Antecedens	Der	407.006552295381	1.64334561986947e-90
GEMMA2_9b_t00_comp_Antecedens	Dieser	355.867720222417	2.23558016827153e-79
GEMMA2_9b_t00_comp_Antecedens	Er	106.487914426757	5.76429672481276e-25
GEMMA2_9b_t02_comp_Antecedens	Der	393.269308394689	1.60750517886754e-87
GEMMA2_9b_t02_comp_Antecedens	Dieser	321.617575792494	6.43518363018619e-72
GEMMA2_9b_t02_comp_Antecedens	Er	115.198652253074	7.11959706254255e-27
GEMMA2_9b_t05_comp_Antecedens	Der	392.266682344964	2.65718253856897e-87
GEMMA2_9b_t05_comp_Antecedens	Dieser	314.484012103984	2.30374846530925e-70
GEMMA2_9b_t05_comp_Antecedens	Er	112.424839138551	2.88392969106601e-26
GPT4_t05_comp_Antecedens	Der	348.51355800052	8.92966876873862e-78
GPT4_t05_comp_Antecedens	Dieser	219.799785177229	1.00012811825258e-49
GPT4_t05_comp_Antecedens	Er	0.773953817570556	0.378996679601708
GRAN_8b_t00_comp_Antecedens	Der	37.6232374805309	8.58160349444678e-10
GRAN_8b_t00_comp_Antecedens	Dieser	69.1010667246466	9.35447496766944e-17
GRAN_8b_t00_comp_Antecedens	Er	4.64533021857992e-30	0.999999999999998
GRAN_8b_t02_comp_Antecedens	Der	24.1185195383822	9.05849286640063e-07
GRAN_8b_t02_comp_Antecedens	Dieser	63.5691694169417	1.5483355504833e-15
GRAN_8b_t02_comp_Antecedens	Er	0.483650463703231	0.48677344288551
GRAN_8b_t05_comp_Antecedens	Der	15.4284306949425	8.56893611223681e-05
GRAN_8b_t05_comp_Antecedens	Dieser	49.2361054597388	2.26935075661139e-12
GRAN_8b_t05_comp_Antecedens	Er	0.88988236557681	0.345509187703097
GRAN_MoE_3b_t00_comp_Antecedens	Der	171.761265724629	3.05140462873553e-39
GRAN_MoE_3b_t00_comp_Antecedens	Dieser	195.975834821061	1.57775111839637e-44
GRAN_MoE_3b_t00_comp_Antecedens	Er	209.891942391316	1.45024354511166e-47
GRAN_MoE_3b_t02_comp_Antecedens	Der	127.634332974379	1.34950534703161e-29
GRAN_MoE_3b_t02_comp_Antecedens	Dieser	211.838869816543	5.45361733144873e-48
GRAN_MoE_3b_t02_comp_Antecedens	Er	216.598416317355	4.99322906516845e-49
GRAN_MoE_3b_t05_comp_Antecedens	Der	92.7070622288366	6.06368121564585e-22
GRAN_MoE_3b_t05_comp_Antecedens	Dieser	155.848443359274	9.13663017650628e-36
GRAN_MoE_3b_t05_comp_Antecedens	Er	180.82902734915	3.19456891873592e-41
KFK3_8b_t00_comp_Antecedens	Der	29.3116654445761	6.16235966143227e-08
KFK3_8b_t00_comp_Antecedens	Dieser	145.549874663897	1.62834421094376e-33
KFK3_8b_t00_comp_Antecedens	Er	3.67591374269006	0.0552039871622089
KFK3_8b_t02_comp_Antecedens	Der	38.3979956805971	5.76916179529754e-10
KFK3_8b_t02_comp_Antecedens	Dieser	145.685041145925	1.52123497270965e-33
KFK3_8b_t02_comp_Antecedens	Er	3.5970358354387	0.0578826909980171
KFK3_8b_t05_comp_Antecedens	Der	30.12071350559	4.05971813802314e-08
KFK3_8b_t05_comp_Antecedens	Dieser	127.289702485541	1.60541907811137e-29
KFK3_8b_t05_comp_Antecedens	Er	1.02962678254717	0.310246341829677
Ministral_8b_t00_comp_Antecedens	Der	225.245764234462	6.48945700382388e-51
Ministral_8b_t00_comp_Antecedens	Dieser	202.97362208283	4.68753274573135e-46
Ministral_8b_t00_comp_Antecedens	Er	6.98426116592765	0.00822295916168417
Ministral_8b_t02_comp_Antecedens	Der	208.79077798181	2.52166459445417e-47
Ministral_8b_t02_comp_Antecedens	Dieser	181.569611534604	2.20149891853155e-41
Ministral_8b_t02_comp_Antecedens	Er	6.5836143797937	0.0102921698135331
Ministral_8b_t05_comp_Antecedens	Der	140.100443338296	2.53074950834436e-32
