Model	Pronoun	Chi_Square	P_Value
GPT4_t05_comp_Antecedens	Der	348.51355800052	8.92966876873862e-78
GPT4_t05_comp_Antecedens	Dieser	219.799785177229	1.00012811825258e-49
GPT4_t05_comp_Antecedens	Er	0.773953817570556	0.378996679601708
GRAN_8b_t00_comp_Antecedens	Der	37.6232374805309	8.58160349444678e-10
GRAN_8b_t00_comp_Antecedens	Dieser	69.1010667246466	9.35447496766944e-17
GRAN_8b_t00_comp_Antecedens	Er	4.64533021857992e-30	0.999999999999998
GRAN_8b_t02_comp_Antecedens	Der	24.1185195383822	9.05849286640063e-07
GRAN_8b_t02_comp_Antecedens	Dieser	63.5691694169417	1.5483355504833e-15
GRAN_8b_t02_comp_Antecedens	Er	0.483650463703231	0.48677344288551
GRAN_8b_t05_comp_Antecedens	Der	15.4284306949425	8.56893611223681e-05
GRAN_8b_t05_comp_Antecedens	Dieser	49.2361054597388	2.26935075661139e-12
GRAN_8b_t05_comp_Antecedens	Er	0.88988236557681	0.345509187703097
KFK3_8b_t00_comp_Antecedens	Der	29.3116654445761	6.16235966143227e-08
KFK3_8b_t00_comp_Antecedens	Dieser	145.549874663897	1.62834421094376e-33
KFK3_8b_t00_comp_Antecedens	Er	3.67591374269006	0.0552039871622089
KFK3_8b_t02_comp_Antecedens	Der	38.3979956805971	5.76916179529754e-10
KFK3_8b_t02_comp_Antecedens	Dieser	145.685041145925	1.52123497270965e-33
KFK3_8b_t02_comp_Antecedens	Er	3.5970358354387	0.0578826909980171
KFK3_8b_t05_comp_Antecedens	Der	30.12071350559	4.05971813802314e-08
KFK3_8b_t05_comp_Antecedens	Dieser	127.289702485541	1.60541907811137e-29
KFK3_8b_t05_comp_Antecedens	Er	1.02962678254717	0.310246341829677
Ministral_8b_t00_comp_Antecedens	Der	225.245764234462	6.48945700382388e-51
Ministral_8b_t00_comp_Antecedens	Dieser	202.97362208283	4.68753274573135e-46
Ministral_8b_t00_comp_Antecedens	Er	6.98426116592765	0.00822295916168417
Ministral_8b_t02_comp_Antecedens	Der	208.79077798181	2.52166459445417e-47
Ministral_8b_t02_comp_Antecedens	Dieser	181.569611534604	2.20149891853155e-41
Ministral_8b_t02_comp_Antecedens	Er	6.5836143797937	0.0102921698135331
Ministral_8b_t05_comp_Antecedens	Der	140.100443338296	2.53074950834436e-32
Ministral_8b_t05_comp_Antecedens	Dieser	166.068904454704	5.34336192262432e-38
Ministral_8b_t05_comp_Antecedens	Er	0.534937364368598	0.464538453450117
MISTRALNEMO_12b_t00_comp_Antecedens	Der	178.998666462628	8.01780244174669e-41
MISTRALNEMO_12b_t00_comp_Antecedens	Dieser	241.060161362048	2.30964433531818e-54
MISTRALNEMO_12b_t00_comp_Antecedens	Er	42.3070436507937	7.80110934256637e-11
MISTRALNEMO_12b_t02_comp_Antecedens	Der	208.535676050727	2.86645408589987e-47
MISTRALNEMO_12b_t02_comp_Antecedens	Dieser	232.555804064211	1.65187593969565e-52
MISTRALNEMO_12b_t02_comp_Antecedens	Er	50.50439158375	1.1889843717929e-12
MISTRALNEMO_12b_t05_comp_Antecedens	Der	193.956571679508	4.3525365600561e-44
MISTRALNEMO_12b_t05_comp_Antecedens	Dieser	236.730669179932	2.03041853082488e-53
MISTRALNEMO_12b_t05_comp_Antecedens	Er	42.7345562530101	6.26949078488478e-11
MIX_8x7b_t00_comp_Antecedens	Der	317.405472109211	5.32172800952186e-71
MIX_8x7b_t00_comp_Antecedens	Dieser	406.608796296296	2.00591171043849e-90
MIX_8x7b_t00_comp_Antecedens	Er	32.0777625090939	1.48123125608034e-08
MIX_8x7b_t02_comp_Antecedens	Der	303.94728628403	4.54788037854547e-68
MIX_8x7b_t02_comp_Antecedens	Dieser	389.004739336493	1.36316181496995e-86
MIX_8x7b_t02_comp_Antecedens	Er	37.1305091147645	1.10481543165653e-09
MIX_8x7b_t05_comp_Antecedens	Der	273.619433198381	1.84539197884609e-61
MIX_8x7b_t05_comp_Antecedens	Dieser	361.285130231948	1.47826370995375e-80
MIX_8x7b_t05_comp_Antecedens	Er	64.1595866129905	1.14738338039572e-15
ML3.1_8b_t00_comp_Antecedens	Der	6.63840494266895	0.00998032534460987
ML3.1_8b_t00_comp_Antecedens	Dieser	143.64043445122	4.25799446517319e-33
ML3.1_8b_t00_comp_Antecedens	Er	0	1
ML3.1_8b_t02_comp_Antecedens	Der	15.4149278946875	8.63038215345547e-05
ML3.1_8b_t02_comp_Antecedens	Dieser	125.1850796805	4.63624729872566e-29
ML3.1_8b_t02_comp_Antecedens	Er	7.7215291814686	0.00545661586133692
ML3.1_8b_t05_comp_Antecedens	Der	4.83273360322442	0.0279243215548832
ML3.1_8b_t05_comp_Antecedens	Dieser	93.2483855026693	4.61265627222615e-22
ML3.1_8b_t05_comp_Antecedens	Er	10.4367855832946	0.00123530066720628
ML3.2_3b_t00_comp_Antecedens	Der	165.301452286224	7.86065521233347e-38
ML3.2_3b_t00_comp_Antecedens	Dieser	267.383813267025	4.21799301569979e-60
ML3.2_3b_t00_comp_Antecedens	Er	88.890616516396	4.17257931273738e-21
ML3.2_3b_t02_comp_Antecedens	Der	179.090173066737	7.65729132895205e-41
ML3.2_3b_t02_comp_Antecedens	Dieser	249.855978689193	2.79150017572002e-56
ML3.2_3b_t02_comp_Antecedens	Er	79.0849089665089	5.94970753499884e-19
ML3.2_3b_t05_comp_Antecedens	Der	120.76324952062	4.30567803880845e-28
ML3.2_3b_t05_comp_Antecedens	Dieser	211.815988311773	5.51666429309381e-48
ML3.2_3b_t05_comp_Antecedens	Er	50.6568154648971	1.10013753816764e-12
PHI3_14b_t00_comp_Antecedens	Der	293.340369720735	9.30537963841377e-66
PHI3_14b_t00_comp_Antecedens	Dieser	301.259948373651	1.75094676453826e-67
PHI3_14b_t00_comp_Antecedens	Er	144.581980519481	2.65064319619366e-33
PHI3_14b_t02_comp_Antecedens	Der	239.214069167681	5.83545431774834e-54
PHI3_14b_t02_comp_Antecedens	Dieser	316.865961590925	6.97546255037009e-71
PHI3_14b_t02_comp_Antecedens	Er	124.850509138129	5.48769346519622e-29
PHI3_14b_t05_comp_Antecedens	Der	160.664366651662	8.10016841648974e-37
PHI3_14b_t05_comp_Antecedens	Dieser	209.751568878179	1.55620420230752e-47
PHI3_14b_t05_comp_Antecedens	Er	89.760306013618	2.68834257130181e-21
QWEN2.5_14b_t00_comp_Antecedens	Der	160.883503548555	7.25465349548526e-37
QWEN2.5_14b_t00_comp_Antecedens	Dieser	142.160724322655	8.96887936698253e-33
QWEN2.5_14b_t00_comp_Antecedens	Er	12.7370420173773	0.000358484208818155
QWEN2.5_14b_t02_comp_Antecedens	Der	157.363827653425	4.26235210624681e-36
QWEN2.5_14b_t02_comp_Antecedens	Dieser	131.918574296128	1.55883691783366e-30
QWEN2.5_14b_t02_comp_Antecedens	Er	3.03113447160653	0.0816808867647289
QWEN2.5_14b_t05_comp_Antecedens	Der	199.405125280341	2.8160983599628e-45
QWEN2.5_14b_t05_comp_Antecedens	Dieser	100.29899013602	1.31043586444645e-23
QWEN2.5_14b_t05_comp_Antecedens	Er	0.0520196728944764	0.819585434439242
SKGEMMA2_9b_t00_comp_Antecedens	Der	348.691897736927	8.16580316759521e-78
SKGEMMA2_9b_t00_comp_Antecedens	Dieser	334.176910364366	1.18322613486411e-74
SKGEMMA2_9b_t00_comp_Antecedens	Er	158.140328186889	2.88388974685035e-36
SKGEMMA2_9b_t02_comp_Antecedens	Der	360.432830327567	2.26639997546981e-80
SKGEMMA2_9b_t02_comp_Antecedens	Dieser	334.176910364366	1.18322613486411e-74
SKGEMMA2_9b_t02_comp_Antecedens	Er	160.199312151982	1.02353146166752e-36
SKGEMMA2_9b_t05_comp_Antecedens	Der	364.044389769789	3.70632227834318e-81
SKGEMMA2_9b_t05_comp_Antecedens	Dieser	331.172481727378	5.33851693343802e-74
SKGEMMA2_9b_t05_comp_Antecedens	Er	160.002071564825	1.13030519754275e-36
SKv2_14b_t00_comp_Antecedens	Der	268.661023470566	2.22195873776863e-60
SKv2_14b_t00_comp_Antecedens	Dieser	204.070836610628	2.70101979466557e-46
