	Value
QWEN2.5_14b_t02_comp_Antecedens	-928.707595252419
QWEN2.5_14b_t05_comp_Antecedens	-889.062786027916
QWEN2.5_14b_t00_comp_Antecedens	-825.932534282909
SKv2_14b_t05_comp_Antecedens	647.304223803343
ML3.1_8b_t05_comp_Antecedens	751.805736259047
KFK3_8b_t00_comp_Antecedens	756.643728349515
Ministral_8b_t05_comp_Antecedens	796.11627203727
SKv2_14b_t02_comp_Antecedens	922.544179370032
KFK3_8b_t02_comp_Antecedens	972.649521723775
KFK3_8b_t05_comp_Antecedens	1028.53644451457
ML3.2_3b_t05_comp_Antecedens	1030.85699125179
MIX_8x7b_t00_comp_Antecedens	1087.06126772299
MIX_8x7b_t02_comp_Antecedens	1117.4614281485
SKv2_14b_t00_comp_Antecedens	1187.36796687962
ML3.1_8b_t02_comp_Antecedens	1199.21957693647
PHI3_14b_t05_comp_Antecedens	1256.94786125832
MIX_8x7b_t05_comp_Antecedens	1266.43576324839
ML3.2_3b_t02_comp_Antecedens	1296.16868114906
ML3.2_3b_t00_comp_Antecedens	1425.8976904583
ML3.1_8b_t00_comp_Antecedens	1509.45876222214
PHI3_14b_t02_comp_Antecedens	1597.91777059514
PHI3_14b_t00_comp_Antecedens	1804.23210960988
GRAN_8b_t02_comp_Antecedens	1894.53869486254
Ministral_8b_t02_comp_Antecedens	2016.59050489211
GRAN_8b_t00_comp_Antecedens	2053.48746096451
GPT4_t05_comp_Antecedens	2063.36963757048
Ministral_8b_t00_comp_Antecedens	2136.83758887476
GRAN_8b_t05_comp_Antecedens	2170.49098540952
SKGEMMA2_9b_t02_comp_Antecedens	2337.67520435455
MISTRALNEMO_12b_t02_comp_Antecedens	2384.11076134157
MISTRALNEMO_12b_t05_comp_Antecedens	2421.13565149637
SKGEMMA2_9b_t05_comp_Antecedens	2494.83627727514
SKGEMMA2_9b_t00_comp_Antecedens	2542.96390368252
MISTRALNEMO_12b_t00_comp_Antecedens	2797.29667679176
