Column	NA_Count
SKv2_14b_t05_rtgs_Rating	176
ML3.1_8b_t05_rtgs_Rating	103
PHI3_14b_t05_rtgs_Rating	86
SKv2_14b_t02_rtgs_Rating	67
PHI3_14b_t02_rtgs_Rating	55
GRAN_8b_t05_rtgs_Rating	47
ML3.1_8b_t02_rtgs_Rating	41
SKv2_14b_t00_rtgs_Rating	39
ML3.1_8b_t00_rtgs_Rating	21
KFK3_8b_t05_rtgs_Rating	5
KFK3_8b_t02_rtgs_Rating	3
GEMMA2_9b_t05_rtgs_Rating	2
MIX_8x7b_t05_rtgs_Rating	2
Human_Rating	0
GEMMA2_9b_t00_rtgs_Rating	0
GEMMA2_9b_t02_rtgs_Rating	0
GPT4_t05_rtgs_Rating	0
GRAN_8b_t00_rtgs_Rating	0
GRAN_8b_t02_rtgs_Rating	0
GRAN_MoE_3b_t00_rtgs_Rating	0
GRAN_MoE_3b_t02_rtgs_Rating	0
GRAN_MoE_3b_t05_rtgs_Rating	0
KFK3_8b_t00_rtgs_Rating	0
MIX_8x7b_t00_rtgs_Rating	0
MIX_8x7b_t02_rtgs_Rating	0
OC3.6_8b_t00_rtgs_Rating	0
OC3.6_8b_t02_rtgs_Rating	0
OC3.6_8b_t05_rtgs_Rating	0
PHI3_14b_t00_rtgs_Rating	0
SKGEMMA2_9b_t00_rtgs_Rating	0
SKGEMMA2_9b_t02_rtgs_Rating	0
SKGEMMA2_9b_t05_rtgs_Rating	0
