"ID"	"GPT4_t05_rtgs_Rating"	"LLaMA_small_t0_rtgs_Rating"	"LLaMA_small_t05_rtgs_Rating"
"1"	"ID_103673"	NA	6	"5"
"2"	"ID_103674"	NA	6	"5"
"3"	"ID_103675"	NA	6	"6"
"4"	"ID_103676"	NA	6	"5"
"5"	"ID_103677"	NA	6	"5"
"6"	"ID_103678"	NA	6	"6"
"7"	"ID_103679"	NA	6	"5"
"8"	"ID_103680"	NA	6	"6"
"9"	"ID_103681"	NA	6	"5"
"10"	"ID_103682"	NA	6	"6"
"11"	"ID_103683"	NA	6	"3"
"12"	"ID_103684"	NA	6	"4"
"13"	"ID_103685"	NA	6	"6"
"14"	"ID_103686"	NA	6	"6"
"15"	"ID_103687"	NA	6	"5"
"16"	"ID_103688"	NA	6	"6"
"17"	"ID_103689"	NA	6	"5"
"18"	"ID_103690"	NA	6	"5"
"19"	"ID_103691"	NA	6	"6"
"20"	"ID_103692"	NA	6	"6"
"21"	"ID_103693"	NA	6	"6"
"22"	"ID_103694"	NA	6	"6"
"23"	"ID_103695"	NA	6	"6"
"24"	"ID_103696"	NA	6	"6"
"25"	"ID_103697"	NA	6	"6"
"26"	"ID_103698"	NA	6	"5"
"27"	"ID_103699"	NA	6	"6"
"28"	"ID_103700"	NA	6	"6"
"29"	"ID_103701"	NA	6	"6"
"30"	"ID_103702"	NA	6	"5"
"31"	"ID_103703"	NA	6	"6"
"32"	"ID_103704"	NA	6	"6"
"33"	"ID_103705"	NA	6	"5"
"34"	"ID_103706"	NA	6	"5"
"35"	"ID_103707"	NA	6	"5"
"36"	"ID_103708"	NA	6	"5"
"37"	"ID_103709"	NA	6	"5"
"38"	"ID_103710"	NA	6	"6"
"39"	"ID_103711"	NA	6	"3"
"40"	"ID_103712"	NA	6	"5"
"41"	"ID_103713"	NA	6	"5"
"42"	"ID_103714"	NA	6	"5"
"43"	"ID_103715"	NA	6	"6"
"44"	"ID_103716"	NA	6	"4"
"45"	"ID_103717"	NA	6	"5"
"46"	"ID_103718"	4	6	"6"
"47"	"ID_103719"	NA	6	"6"
"48"	"ID_103720"	NA	6	"6"
"49"	"ID_103721"	NA	6	"Der Archäologe präsentierte der Museumsdirektorin den Fund. Der war sehr aufgeregt."
"50"	"ID_103722"	NA	6	"6"
"51"	"ID_103723"	NA	6	"5"
"52"	"ID_103724"	NA	6	"6"
"53"	"ID_103725"	NA	6	"6"
"54"	"ID_103726"	NA	6	"6"
"55"	"ID_103727"	NA	6	"6"
"56"	"ID_103728"	NA	6	"5"
"57"	"ID_103729"	NA	6	"6"
"58"	"ID_103730"	NA	6	"4"
"59"	"ID_103731"	NA	6	"6"
"60"	"ID_103732"	NA	6	"5"
"61"	"ID_103733"	NA	6	"6"
"62"	"ID_103734"	NA	6	"6"
"63"	"ID_103735"	NA	6	"6"
"64"	"ID_103736"	NA	6	"6"
"65"	"ID_103737"	NA	6	"6"
"66"	"ID_103738"	NA	6	"5"
"67"	"ID_103739"	NA	6	"6"
"68"	"ID_103740"	NA	6	"6"
"69"	"ID_103741"	NA	6	"5"
"70"	"ID_103742"	NA	6	"7"
"71"	"ID_103743"	NA	6	"6"
"72"	"ID_103744"	NA	6	"5"
"73"	"ID_103745"	NA	6	"6"
"74"	"ID_103746"	NA	6	"5"
"75"	"ID_103747"	5	6	"6"
"76"	"ID_103748"	NA	6	"6"
"77"	"ID_103749"	NA	6	"6"
"78"	"ID_103750"	NA	6	"5"
"79"	"ID_103751"	NA	6	"6"
"80"	"ID_103752"	NA	6	"6"
"81"	"ID_103753"	NA	6	"6"
"82"	"ID_103754"	NA	6	"6"
"83"	"ID_103755"	NA	6	"5"
"84"	"ID_103756"	NA	6	"4"
"85"	"ID_103757"	NA	6	"5"
"86"	"ID_103758"	NA	6	"5"
"87"	"ID_103759"	NA	6	"4"
"88"	"ID_103760"	NA	6	"6"
"89"	"ID_103761"	NA	6	"6"
"90"	"ID_103762"	NA	6	"5"
"91"	"ID_103763"	NA	6	"6"
"92"	"ID_103764"	NA	6	"5"
"93"	"ID_103765"	NA	6	"5"
"94"	"ID_103766"	NA	6	"5"
"95"	"ID_103767"	NA	6	"6"
"96"	"ID_103768"	NA	6	"6"
"97"	"ID_103769"	NA	6	"5"
"98"	"ID_103770"	NA	6	"5"
"99"	"ID_103771"	NA	6	"6"
"100"	"ID_103772"	NA	6	"5"
"101"	"ID_103773"	NA	6	"6"
"102"	"ID_103774"	NA	6	"6"
"103"	"ID_103775"	4	6	"6"
"104"	"ID_103776"	NA	6	"6"
"105"	"ID_103777"	NA	6	"5"
"106"	"ID_103778"	NA	6	"5"
"107"	"ID_103779"	NA	6	"5"
"108"	"ID_103780"	NA	6	"6"
"109"	"ID_103781"	NA	6	"6"
"110"	"ID_103782"	NA	6	"5"
"111"	"ID_103783"	NA	6	"6"
"112"	"ID_103784"	NA	6	"4"
"113"	"ID_103785"	NA	6	"6"
"114"	"ID_103786"	NA	6	"5"
"115"	"ID_103787"	NA	6	"6"
"116"	"ID_103788"	NA	6	"6"
"117"	"ID_103789"	NA	6	"6"
"118"	"ID_103790"	NA	6	"4"
"119"	"ID_103791"	NA	6	"4"
"120"	"ID_103792"	NA	6	"6"
"121"	"ID_103793"	NA	6	"6"
"122"	"ID_103794"	NA	6	"5"
"123"	"ID_103795"	NA	6	"5"
"124"	"ID_103796"	NA	6	"5"
"125"	"ID_103797"	NA	6	"6"
"126"	"ID_103798"	NA	6	"6"
"127"	"ID_103799"	NA	6	"5"
"128"	"ID_103800"	NA	6	"6"
"129"	"ID_103801"	NA	6	"4"
"130"	"ID_103802"	NA	6	"5"
"131"	"ID_103803"	NA	6	"4"
"132"	"ID_103804"	NA	6	"5"
"133"	"ID_103805"	NA	6	"6"
"134"	"ID_103806"	NA	6	"6"
"135"	"ID_103807"	NA	6	"5"
"136"	"ID_103808"	NA	6	"5"
"137"	"ID_103809"	NA	6	"4"
"138"	"ID_103810"	NA	6	"6"
"139"	"ID_103811"	NA	6	"6"
"140"	"ID_103812"	NA	6	"6"
"141"	"ID_103813"	NA	6	"6"
"142"	"ID_103814"	NA	6	"6"
"143"	"ID_103815"	NA	6	"6"
"144"	"ID_103816"	NA	6	"6"
"145"	"ID_103817"	NA	6	"5"
"146"	"ID_103818"	NA	6	"6"
"147"	"ID_103819"	NA	6	"4"
"148"	"ID_103820"	NA	6	"5"
"149"	"ID_103821"	NA	6	"4"
"150"	"ID_103822"	NA	6	"5"
"151"	"ID_103823"	NA	6	"6"
"152"	"ID_103824"	NA	6	"6"
"153"	"ID_103825"	NA	6	"5"
"154"	"ID_103826"	NA	6	"5"
"155"	"ID_103827"	NA	6	"4"
"156"	"ID_103828"	NA	6	"6"
"157"	"ID_103829"	NA	6	"6"
"158"	"ID_103830"	NA	6	"6"
"159"	"ID_103831"	NA	6	"6"
"160"	"ID_103832"	NA	6	"6"
"161"	"ID_103833"	NA	6	"6"
"162"	"ID_103834"	NA	6	"6"
"163"	"ID_103835"	NA	6	"4"
"164"	"ID_103836"	NA	6	"6"
"165"	"ID_103837"	NA	6	"6"
"166"	"ID_103838"	NA	6	"6"
"167"	"ID_103839"	NA	6	"6"
"168"	"ID_103840"	NA	6	"6"
"169"	"ID_103841"	NA	6	"5"
"170"	"ID_103842"	NA	6	"6"
"171"	"ID_103843"	NA	6	"6"
"172"	"ID_103844"	NA	6	"6"
"173"	"ID_103845"	NA	6	"6"
"174"	"ID_103846"	NA	6	"5"
"175"	"ID_103847"	NA	6	"6"
"176"	"ID_103848"	NA	6	"6"
"177"	"ID_103849"	NA	6	"5"
"178"	"ID_103850"	NA	6	"6"
"179"	"ID_103851"	NA	6	"Ich bewerte den Text mit einer 7."
"180"	"ID_103852"	NA	6	"5"
"181"	"ID_103853"	NA	6	"5"
"182"	"ID_103854"	NA	6	"5"
"183"	"ID_103855"	NA	6	"5"
"184"	"ID_103856"	NA	6	"6"
"185"	"ID_103857"	NA	6	"6"
"186"	"ID_103858"	NA	6	"6"
"187"	"ID_103859"	NA	6	"5"
"188"	"ID_103860"	NA	6	"6"
"189"	"ID_103861"	NA	6	"5"
"190"	"ID_103862"	NA	6	"5"
